time,station_id,sbe_temp_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-07 03:00:00,Mace Head,9.0328,1,3,1,1,1,1,3.0
2020-01-07 03:30:00,Mace Head,9.0543,1,3,1,1,1,1,3.0
2020-01-07 04:00:00,Mace Head,9.0808,1,3,1,1,1,1,3.0
2020-01-07 04:30:00,Mace Head,9.1006,1,3,1,1,1,1,3.0
2020-01-07 05:00:00,Mace Head,9.1172,1,3,1,1,1,1,3.0
2020-01-07 05:30:00,Mace Head,9.1228,1,3,1,1,1,1,3.0
2020-01-07 06:00:00,Mace Head,9.1264,1,3,1,1,1,1,3.0
2020-01-07 06:30:00,Mace Head,9.1342,1,3,1,1,1,1,3.0
2020-01-07 07:00:00,Mace Head,9.1314,1,3,1,1,1,1,3.0
2020-01-07 07:30:00,Mace Head,9.1194,1,3,1,1,1,1,3.0
2020-01-07 08:00:00,Mace Head,9.1118,1,3,1,1,1,1,3.0
2020-01-07 08:30:00,Mace Head,9.1068,1,3,1,1,1,1,3.0
2020-01-07 09:00:00,Mace Head,9.1118,1,3,1,1,1,1,3.0
2020-01-07 09:30:00,Mace Head,9.101,1,3,1,1,1,1,3.0
2020-01-07 10:00:00,Mace Head,9.093001,1,3,1,1,1,1,3.0
2020-01-07 10:30:00,Mace Head,9.0912,1,3,1,1,1,1,3.0
2020-01-07 11:00:00,Mace Head,9.094499,1,3,1,1,1,1,3.0
2020-01-07 11:30:00,Mace Head,9.0984,1,3,1,1,1,1,3.0
2020-01-07 12:00:00,Mace Head,9.107,1,3,1,1,1,1,3.0
2020-01-07 12:30:00,Mace Head,9.1295,1,3,1,1,1,1,3.0
2020-01-07 13:00:00,Mace Head,9.1588,1,3,1,1,1,1,3.0
2020-01-07 13:30:00,Mace Head,9.2027,1,3,1,1,1,1,3.0
2020-01-07 14:00:00,Mace Head,9.225,1,3,1,1,1,1,3.0
2020-01-07 14:30:00,Mace Head,9.2287,1,3,1,1,1,1,3.0
2020-01-07 15:00:00,Mace Head,9.2526,1,3,1,1,1,1,3.0
2020-01-07 15:30:00,Mace Head,9.2762,1,3,1,1,1,1,3.0
2020-01-07 16:00:00,Mace Head,9.2854,1,3,1,1,1,1,3.0
2020-01-07 16:30:00,Mace Head,9.2821,1,3,1,1,1,1,3.0
2020-01-07 17:00:00,Mace Head,9.2757,1,3,1,1,1,1,3.0
2020-01-07 17:30:00,Mace Head,9.2727,1,3,1,1,1,1,3.0
2020-01-07 18:00:00,Mace Head,9.2711,1,3,1,1,1,1,3.0
2020-01-07 18:30:00,Mace Head,9.2697,1,3,1,1,1,1,3.0
2020-01-07 19:00:00,Mace Head,9.2668,1,3,1,1,1,1,3.0
2020-01-07 19:30:00,Mace Head,9.2386,1,3,1,1,1,1,3.0
2020-01-07 20:00:00,Mace Head,9.1952,1,3,1,1,1,1,3.0
2020-01-07 20:30:00,Mace Head,9.191399,1,3,1,1,1,1,3.0
2020-01-07 21:00:00,Mace Head,9.1122,1,3,1,1,1,1,3.0
